user_id,target_pos,original_interactions,best_interactions,cfs,len_cfs
1527,7,"[ 893  430  861 2280 1495 2452 2629  168  125  106  211  598  995  133
  757 2592   49  136  534 1106]","[ 893  430  861 2280 1495 2452 2629  168  125  106  211  598  995  133
  757 2592  534 1106]",[ 49 136],2
1530,1,"[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639  832 1286  271   61 2522]","[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639 1286  271   61 2522]",[832],1
1530,3,"[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639  832 1286  271   61 2522]","[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639 1286  271   61 2522]",[832],1
1530,5,"[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639  832 1286  271   61 2522]","[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639 1286  271   61 2522]",[832],1
1530,7,"[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639  832 1286  271   61 2522]","[ 829   37 1406 2681    2  189 2026  276  746  275  696  691  467  640
  639 1286  271   61 2522]",[832],1
1532,1,"[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  870  909  629]","[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  870  909]",[629],1
1532,3,"[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  870  909  629]","[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  870  629]",[909],1
1532,5,"[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  870  909  629]","[ 487  105  168  129  373   52  377  449  185   41  275  165  916 1658
  535  733  870  629]",[324 909],2
1532,7,"[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  870  909  629]","[ 487  105  168  129  373   52  377  449  185   41  324  275  165  916
 1658  535  733  909  629]",[870],1
1540,1,"[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  723  633  105]","[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  723  105]",[633],1
1540,3,"[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  723  633  105]","[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  633  105]",[723],1
1540,5,"[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  723  633  105]","[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  723  105]",[633],1
1540,7,"[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  697  756  723  633  105]","[1349    6   16 1110 1121  643  712  959  768  690  425 1238  560 1447
   10  756  723  633  105]",[697],1
1542,1,"[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835   52 1298  548 1332]","[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835 1298  548 1332]",[52],1
1542,3,"[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835   52 1298  548 1332]","[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835 1298  548 1332]",[52],1
1542,5,"[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835   52 1298  548 1332]","[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835 1298  548 1332]",[52],1
1542,7,"[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835   52 1298  548 1332]","[1879 1146  203  301  126  431 1020  197   73   26  853  353  517  333
  871 2835 1298  548 1332]",[52],1
1543,1,"[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  564  789 1043  770]","[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  789  770]",[ 564 1043],2
1543,3,"[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  564  789 1043  770]","[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  564 1043  770]",[789],1
1543,5,"[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  564  789 1043  770]","[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  789 1043  770]",[564],1
1543,7,"[1671  118 2436  971 1656  391  734  134   39  434  534  873  548  532
 1630 1309  564  789 1043  770]","[1671  118 2436  971 1656  391  734  134   39  434  534  873  548 1630
 1309  564  789 1043  770]",[532],1
1544,1,"[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  369  292  733  501  306  930]","[ 763  886  523 1628 3316 1888  294 1614  481   98  910  464   87  369
  501  306  930]",[  4 292 733],3
1544,3,"[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  369  292  733  501  306  930]","[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  369  501  306  930]",[292 733],2
1544,5,"[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  369  292  733  501  306  930]","[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  369  292  733  501  306]",[930],1
1544,7,"[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  369  292  733  501  306  930]","[ 763    4  886  523 1628 3316 1888  294 1614  481   98  910  464   87
  292  501  306  930]",[369 733],2
1545,1,"[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934  846 3161  293 2451]","[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934  846 3161 2451]",[293],1
1545,3,"[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934  846 3161  293 2451]","[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934  846 3161 2451]",[293],1
1545,5,"[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934  846 3161  293 2451]","[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934 3161  293 2451]",[846],1
1545,7,"[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154 2042
   77 1934  846 3161  293 2451]","[ 103 1271  974  647  897  120 1838 1711 1127 1296  798  185  154   77
 1934  846 3161  293 2451]",[2042],1
1546,1,"[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156  796]","[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156]",[796],1
1546,3,"[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156  796]","[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156]",[796],1
1546,5,"[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156  796]","[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156]",[796],1
1546,7,"[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 1704 2498  174  156  796]","[  82 1223  104  508 2098 1530  918   39 1968 1927  904 1937 2125  338
  133 2498  174  156  796]",[1704],1
1547,1,"[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  729  157  691]","[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  729  157]",[691],1
1547,3,"[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  729  157  691]","[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  157  691]",[143 729],2
1547,5,"[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  729  157  691]","[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  157  691]",[729],1
1547,7,"[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  729  157  691]","[ 938  501  548  112 1518 2728  554 1532 1510  237  214  530  961  965
  281  995  143  157  691]",[729],1
1551,1,"[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716 2401  178 1486]","[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716 2401  178]",[1486],1
1551,3,"[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716 2401  178 1486]","[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716 2401  178]",[1486],1
1551,5,"[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716 2401  178 1486]","[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716  178 1486]",[2401],1
1551,7,"[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716 2401  178 1486]","[ 105 1159  630 1652 1454 1300  910 1062  770  383   86  159  476    1
  906  200 2716  178 1486]",[2401],1
1552,1,"[ 531  167  158   66   80  131  930 2047 1099  798  101   43 1265 2942
  183  548  636  424  677 1618]","[ 531  167  158   66   80  131  930 2047 1099  798  101   43 1265 2942
  548  677 1618]",[183 424 636],3
1552,3,"[ 531  167  158   66   80  131  930 2047 1099  798  101   43 1265 2942
  183  548  636  424  677 1618]","[ 531  167  158   66   80  131  930 2047 1099  798  101   43 1265 2942
  183  548  636  424  677]",[1618],1
1552,5,"[ 531  167  158   66   80  131  930 2047 1099  798  101   43 1265 2942
  183  548  636  424  677 1618]","[ 531  167  158   66   80  131  930 2047 1099  798   43 2942  183  548
  636  424  677 1618]",[ 101 1265],2
1552,7,"[ 531  167  158   66   80  131  930 2047 1099  798  101   43 1265 2942
  183  548  636  424  677 1618]","[ 531  167  158   66   80  131  930 2047 1099  798   43 1265 2942  183
  548  636  424  677 1618]",[101],1
1556,1,"[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232 1572  148 1467]","[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232 1572 1467]",[148],1
1556,3,"[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232 1572  148 1467]","[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232  148 1467]",[1572],1
1556,5,"[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232 1572  148 1467]","[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232  148 1467]",[1572],1
1556,7,"[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  662
  207 2012 1232 1572  148 1467]","[ 265 2175 1000  569 1254  612    1  995 1385  237  741    7  377  207
 2012 1232 1572  148 1467]",[662],1
1560,1,"[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698  939 2062  351]","[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698  939 2062]",[351],1
1560,3,"[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698  939 2062  351]","[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
  876  698  939 2062  351]",[2329],1
1560,5,"[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698  939 2062  351]","[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698  939 2062]",[351],1
1560,7,"[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698  939 2062  351]","[  58 1167   63  606 1157  197 1798  134 2171 1210  548 1062  471  558
 2329  876  698 2062  351]",[939],1
1561,1,"[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32  912 1746 1313]","[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32 1313]",[ 912 1746],2
1561,3,"[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32  912 1746 1313]","[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32  912 1313]",[1746],1
1561,5,"[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32  912 1746 1313]","[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32 1746 1313]",[912],1
1561,7,"[1664  366  318   38  594  281  372  175   52 1065  233 1963  391 1312
  124  762   32  912 1746 1313]","[1664  366  318   38  594  281  372   52 1065  233 1963  391 1312  124
  762   32  912 1746 1313]",[175],1
1563,1,"[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190 2060 1334]","[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190]",[1334 2060],2
1563,3,"[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190 2060 1334]","[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
   93  190 2060 1334]",[ 16 518],2
1563,5,"[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190 2060 1334]","[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190 2060]",[1334],1
1563,7,"[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190 2060 1334]","[  23  942    4 1524  388  542 1125  407 2160  333  135   39  280  219
  518   16   93  190 1334]",[2060],1
1564,1,"[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717
 1068   92 1992 1085 1067  930]","[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871   92
 1992 1085 1067]",[ 930 1068 1717],3
1564,3,"[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717
 1068   92 1992 1085 1067  930]","[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717
 1068   92 1992 1085 1067]",[930],1
1564,5,"[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717
 1068   92 1992 1085 1067  930]","[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717
 1068   92 1992 1085 1067]",[930],1
1564,7,"[1108  256  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717
 1068   92 1992 1085 1067  930]","[1108  320   61  837  591 1844 1673 1841  556 1138 1301 1871 1717 1068
   92 1992 1085 1067]",[256 930],2
1567,1,"[  45   23   97  365   78   27  644  238  857 2627   48  105  129 2518
  487 2311  598  384  987 2338]","[  45   23   97  365   78   27  644  238  857   48  105  129 2518  487
  598  384  987 2338]",[2311 2627],2
1567,3,"[  45   23   97  365   78   27  644  238  857 2627   48  105  129 2518
  487 2311  598  384  987 2338]","[  45   23   97  365   78   27  644  238  857   48  105  129 2518  487
 2311  598  384  987]",[2338 2627],2
1567,5,"[  45   23   97  365   78   27  644  238  857 2627   48  105  129 2518
  487 2311  598  384  987 2338]","[  45   23   97  365   78   27  644  238  857   48  105 2518  487 2311
  384  987 2338]",[ 129  598 2627],3
1567,7,"[  45   23   97  365   78   27  644  238  857 2627   48  105  129 2518
  487 2311  598  384  987 2338]","[  45   23   97  365   78   27  644  238  857 2627   48  105  129 2518
  487 2311  598  987 2338]",[384],1
1571,1,"[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247  256  899   79  265]","[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247   79  265]",[256 899],2
1571,3,"[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247  256  899   79  265]","[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247  256   79  265]",[899],1
1571,5,"[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247  256  899   79  265]","[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247  256   79  265]",[899],1
1571,7,"[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  247  256  899   79  265]","[ 830  171    1 1395  712 1050 1062 2518  257 1970  506   54  285 1651
  260  256  899   79  265]",[247],1
1577,1,"[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  106  744  429]","[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  744  429]",[106],1
1577,3,"[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  106  744  429]","[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  744  429]",[106],1
1577,5,"[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  106  744  429]","[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  744  429]",[106],1
1577,7,"[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  106  744  429]","[ 190 1182 1334  838 1233  110  338  418  142 1591  124  327   79  891
  383  492 1257  744  429]",[106],1
1579,1,"[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 1092 2418]","[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 2418]",[1092],1
1579,3,"[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 1092 2418]","[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 2418]",[1092],1
1579,5,"[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 1092 2418]","[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 1092]",[2418],1
1579,7,"[ 864  116 1170  739 1382 1155  138 2556  639 1399  475 1109 2960  512
   86 1108 1342  344 1092 2418]","[ 864  116 1170  739 1382  138 2556  639 1399  475 1109 2960  512   86
 1108 1342  344 1092 2418]",[1155],1
1584,1,"[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
  821 1375  693  201  566 1580]","[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
  821 1375  693  201 1580]",[566],1
1584,3,"[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
  821 1375  693  201  566 1580]","[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
  821 1375  693  201 1580]",[566],1
1584,5,"[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
  821 1375  693  201  566 1580]","[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
 1375  693  201  566 1580]",[821],1
1584,7,"[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
  821 1375  693  201  566 1580]","[ 172  137 1023 1011 1076  612   22 2401 1255 2352 1525 1888  698 2092
 1375  693  201  566 1580]",[821],1
1586,1,"[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632  364
 2228 1531  375  214  515  809]","[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632  364
 2228  375  214  515  809]",[1531],1
1586,3,"[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632  364
 2228 1531  375  214  515  809]","[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632  364
 2228  375  214  515  809]",[1531],1
1586,5,"[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632  364
 2228 1531  375  214  515  809]","[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632 2228
 1531  375  214  515  809]",[364],1
1586,7,"[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632  364
 2228 1531  375  214  515  809]","[ 116 1240  663 1159 1254 1640  962  998   38    9 1543 2044 1632 2228
 1531  375  214  515  809]",[364],1
1587,1,"[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218 1794  468  838]","[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218  468  838]",[1794],1
1587,3,"[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218 1794  468  838]","[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218  468  838]",[1794],1
1587,5,"[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218 1794  468  838]","[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 1218 1794  468  838]",[2184],1
1587,7,"[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218 1794  468  838]","[ 819 2086 1068 1851 1005  841 1249 1076 1718  432  214 1296  791 1154
 1210 2184 1218  468  838]",[1794],1
1591,1,"[1217  676  735 1267 1599 2031  566 1395 1272 3041  389   11  776   91
 1018  211 1150   24 1489  245]","[1217  676  735 1267 1599 2031  566 1395 1272 3041   11  776   91 1018
  211 1150  245]",[  24  389 1489],3
1591,3,"[1217  676  735 1267 1599 2031  566 1395 1272 3041  389   11  776   91
 1018  211 1150   24 1489  245]","[1217  676  735 1267 1599 2031  566 1395 1272 3041   11  776   91 1018
  211 1150 1489  245]",[ 24 389],2
1591,5,"[1217  676  735 1267 1599 2031  566 1395 1272 3041  389   11  776   91
 1018  211 1150   24 1489  245]","[1217  676  735 1267 1599 2031  566 1395 1272 3041  389  776 1018  211
 1150   24 1489  245]",[11 91],2
1591,7,"[1217  676  735 1267 1599 2031  566 1395 1272 3041  389   11  776   91
 1018  211 1150   24 1489  245]","[1217  676  735 1267 1599 2031  566 1395 1272 3041  389   11  776   91
 1018  211 1150 1489  245]",[24],1
1592,1,"[1524  740  742 1317  809  682  205  529  579  606  601 2895  893  274
 1298  500  343 1517 1186 2886]","[1524  740  742 1317  809  682  205  529  579  606 2895  893  274 1298
  500  343]",[ 601 1186 1517 2886],4
1592,3,"[1524  740  742 1317  809  682  205  529  579  606  601 2895  893  274
 1298  500  343 1517 1186 2886]","[1524  740  742 1317  809  682  205  529  579  606  601 2895  893  274
  500 2886]",[ 343 1186 1298 1517],4
1592,5,"[1524  740  742 1317  809  682  205  529  579  606  601 2895  893  274
 1298  500  343 1517 1186 2886]","[1524  740  742 1317  809  682  205  529  579  606  601  893  274 1298
  500 1517 1186 2886]",[ 343 2895],2
1592,7,"[1524  740  742 1317  809  682  205  529  579  606  601 2895  893  274
 1298  500  343 1517 1186 2886]","[1524  740  742 1317  809  682  205  529  579  606  601 2895  893  274
 1298  343 1517 1186 2886]",[500],1
1593,1,"[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329 1182  534   69  949  975]","[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329 1182  534  949  975]",[69],1
1593,3,"[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329 1182  534   69  949  975]","[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329 1182  534   69  949]",[975],1
1593,5,"[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329 1182  534   69  949  975]","[  68  245  273  185  507  373  526   19  257  146  292  431 2268  329
 1182  534   69  949  975]",[247],1
1593,7,"[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329 1182  534   69  949  975]","[ 247   68  245  273  185  507  373  526   19  257  146  292  431 2268
  329  534   69  949  975]",[1182],1
1594,1,"[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169   46  274]","[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169]",[ 46 274],2
1594,3,"[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169   46  274]","[1238 1241   18 1863  391  566 1530  548 1211  586  723  699 1504 1424
 1918  380  169]",[ 41  46 274],3
1594,5,"[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169   46  274]","[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169  274]",[46],1
1594,7,"[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169   46  274]","[1238 1241   41   18 1863  391  566 1530  548 1211  586  723  699 1504
 1424 1918  380  169   46]",[274],1
1595,1,"[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1311 1150]","[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1311]",[1150],1
1595,3,"[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1311 1150]","[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1150]",[1311],1
1595,5,"[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1311 1150]","[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1311]",[1150],1
1595,7,"[ 870  516    4  500   16  114  604 1182  128 1468  178 1587 1293  665
  715 1634   58  412 1311 1150]","[ 870  516    4  500   16  114  604 1182 1468  178 1587 1293  665  715
   58  412 1311 1150]",[ 128 1634],2
1597,1,"[ 468  469   31 1637  995  118   25    6  926  258 1019 2134 2716  260
 1299  325  626   11  738  299]","[ 468  469   31 1637  995  118   25    6  258 1019 2134 2716  260 1299
  325  626   11  299]",[738 926],2
1597,3,"[ 468  469   31 1637  995  118   25    6  926  258 1019 2134 2716  260
 1299  325  626   11  738  299]","[ 468  469   31 1637  995  118   25    6  926  258 1019 2134 2716  260
 1299  325  626   11  738]",[299],1
1597,5,"[ 468  469   31 1637  995  118   25    6  926  258 1019 2134 2716  260
 1299  325  626   11  738  299]","[ 468  469   31 1637  995  118   25    6  926  258 1019 2134 2716  260
 1299  325  626   11  738]",[299],1
1597,7,"[ 468  469   31 1637  995  118   25    6  926  258 1019 2134 2716  260
 1299  325  626   11  738  299]","[ 468  469   31 1637  995  118   25  926  258 1019 2134 2716  260 1299
  325  626   11  738  299]",[6],1
1598,1,"[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260 1327 1727 1014]","[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260 1727]",[1014 1327],2
1598,3,"[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260 1327 1727 1014]","[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260 1327 1727]",[1014],1
1598,5,"[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260 1327 1727 1014]","[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260]",[1014 1327 1727],3
1598,7,"[  65  848  238   27  749  897  725  592  587  667  755  784 2557  776
  809 2017 1260 1327 1727 1014]","[ 848  238   27  897  725  592  755  784 2557  776  809 2017 1260 1327
 1727 1014]",[ 65 587 667 749],4
1599,1,"[1522  576  428 1599 1073 1368 1656 1074  915 1386  407  798 2504 1201
 2452 1936 1837 1581 2721   44]","[1522  576  428 1599 1073 1368 1656 1074  915 1386  407  798 2504 1201
 2452 1936 1837 1581]",[  44 2721],2
1599,3,"[1522  576  428 1599 1073 1368 1656 1074  915 1386  407  798 2504 1201
 2452 1936 1837 1581 2721   44]","[1522  576  428 1599 1073 1368 1656 1074  915 1386  407  798 2504 1201
 2452 1936 1837 1581]",[  44 2721],2
1599,5,"[1522  576  428 1599 1073 1368 1656 1074  915 1386  407  798 2504 1201
 2452 1936 1837 1581 2721   44]","[1522  576  428 1599 1073 1368 1656 1074  915 1386  407  798 2504 1201
 2452 1936 1837 1581   44]",[2721],1
